"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","UserLanguage","Consent","dem_state","Pre_state_conf_1","Pre_national_conf_1","cov_trust_federal_1","cov_trust_state_1","cov_2016_accu","cov_2020_accu","dem_birthyear","dem_gender","dem_gender_6_TEXT","dem_child","bipart_intro_time_First.Click","bipart_intro_time_Last.Click","bipart_intro_time_Page.Submit","bipart_intro_time_Click.Count","bipartisan_time_First.Click","bipartisan_time_Last.Click","bipartisan_time_Page.Submit","bipartisan_time_Click.Count","RL_perc_intro_time_First.Click","RL_perc_intro_time_Last.Click","RL_perc_intro_time_Page.Submit","RL_perc_intro_time_Click.Count","RL_perc_time_First.Click","RL_perc_time_Last.Click","RL_perc_time_Page.Submit","RL_perc_time_Click.Count","Handcount_intro_time_First.Click","Handcount_intro_time_Last.Click","Handcount_intro_time_Page.Submit","Handcount_intro_time_Click.Count","Handcount_time_First.Click","Handcount_time_Last.Click","Handcount_time_Page.Submit","Handcount_time_Click.Count","Loser_intro_time_First.Click","Loser_intro_time_Last.Click","Loser_intro_time_Page.Submit","Loser_intro_time_Click.Count","Loser_time_First.Click","Loser_time_Last.Click","Loser_time_Page.Submit","Loser_time_Click.Count","Soup_intro_time_First.Click","Soup_intro_time_Last.Click","Soup_intro_time_Page.Submit","Soup_intro_time_Click.Count","Soup_time_First.Click","Soup_time_Last.Click","Soup_time_Page.Submit","Soup_time_Click.Count","Local_intro_time_First.Click","Local_intro_time_Last.Click","Local_intro_time_Page.Submit","Local_intro_time_Click.Count","Local_time_First.Click","Local_time_Last.Click","Local_time_Page.Submit","Local_time_Click.Count","control_time_First.Click","control_time_Last.Click","control_time_Page.Submit","control_time_Click.Count","Post_state_conf_1","Post_national_conf_1","SecEffect_1","attentioncheck","cov_voting_impt_1","cov_vote_2020","cov_vote_who_2020","cov_vote_who_2020_5_TEXT","dem_edu","dem_party","dem_party_4_TEXT","dem_libcon","dem_race","dem_race_6_TEXT","dem_income","comments","rid","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","Treatment_group"
"5/4/2021 4:01","5/4/2021 4:01","IP Address","199.66.65.114","100","15","5/4/2021 4:01","R_1Amfyvcio1cVjdD","39.59919739","-86.12999725","EN","NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60911b92-9f6b-a464-0a86-895fa92484a2","54","2","19","1","1","6","10","2","46217",""
"5/4/2021 3:59","5/4/2021 4:02","IP Address","68.133.26.67","100","227","5/4/2021 4:02","R_sjqZEirZLDv5453","43.04460144","-78.78289795","EN","YES","New York","6","6","2","2","No","No","1955","Female","","Yes","","","","","","","","","","","","","","","","","11.441","15.089","17.672","8","0","0","12.01","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","4","Red,Green","1","Yes, I voted","Donald Trump","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$100,000-$149,999","","60911ad2-a69b-c4d3-f7bd-a9a900fb7118","65","2","19","1","1","7","9","1","14221","Handcount"
"5/4/2021 4:01","5/4/2021 4:03","IP Address","99.25.80.236","100","127","5/4/2021 4:03","R_2VIo1syh3AIpYUV","30.00349426","-82.38279724","EN","YES","Florida","10","10","5","5","Yes","Yes","1978","Male","","Yes","","","","","","","","","0","0","15.668","0","0","0","15.245","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","5","Green","","","","","","","","","","","","","60911b27-f5cd-01e7-cec2-690b34b59644","43","1","20","1","1","7","1","3","32054","RL_percentage"
"5/4/2021 4:00","5/4/2021 4:03","IP Address","97.127.22.216","100","141","5/4/2021 4:03","R_6XWTBiNwyfKVWIF","44.94020081","-93.21880341","EN","YES","Minnesotta","8","8","2","2","Yes","Yes","1958","Male","","Yes","4.006","15.701","16.837","4","2.473","2.473","11.237","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","2","Red,Green","5","Yes, I voted","Donald Trump","","Some college, but no degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$10,000-$19,999","","60911b1b-117f-70ca-c52e-d88042118178","63","1","1","1","1","4","9","2","55126","Bipartisan"
"5/4/2021 4:02","5/4/2021 4:04","IP Address","47.24.178.34","100","99","5/4/2021 4:04","R_3O1DwNMYwGwni7J","38.57589722","-90.51670074","EN","YES","Iowa","10","10","5","5","Yes","Yes","1981","Male","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","10.382","10.382","11.376","1","0","0","11.333","0","","","","","","","","","","","","","","","","","","","","","10","10","5","White","","","","","","","","","","","","","60911b6c-a1b4-131d-5d66-d93e8d108890","39","1","22","1","1","7","1","2","50208","Loser"
"5/4/2021 4:00","5/4/2021 4:04","IP Address","52.128.202.202","100","209","5/4/2021 4:04","R_4Jc0Lu9Az0SKme5","39.01800537","-77.53900146","EN","YES","Texas","8","9","5","5","No","Yes","1985","Male","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","7.114","0","0","0","7.366","0","","","","","","","","","","","","","9","9","5","Red,Green","5","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$100,000-$149,999","no","60911b4e-daa2-5d8a-b7fa-1a4bd1e2486f","36","1","20","1","1","7","1","3","75270","Soup"
"5/4/2021 4:01","5/4/2021 4:04","IP Address","73.29.34.194","100","174","5/4/2021 4:04","R_2CrfSFF6laeW6eL","39.97270203","-74.24739838","EN","YES","New Jersey","9","8","4","4","Yes","Yes","1948","Female","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","9.579","0","9","9","1","Red,Green","1","Yes, I voted","Joe Biden","","Some college, but no degree","Democrat","","Moderate","Caucasian/White (non-Hispanic)","","$10,000-$19,999","no comments","60911b87-7e85-ff6d-19ac-ff25894948a6","72","2","2","1","1","4","2","1","8757","Control"
"5/4/2021 4:02","5/4/2021 4:04","IP Address","47.157.170.71","100","168","5/4/2021 4:05","R_u1EFINjHafKNBCN","33.60560608","-117.2662048","EN","YES","California","10","8","4","4","Yes","Yes","1954","Female","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.832","22.832","24.078","1","0","0","11.404","0","","","","","10","10","4","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Democrat","","Strong Liberal","Caucasian/White (non-Hispanic)","","$40,000-$49,999","","60911b78-00f0-9d3e-bf7a-06ebcae48c7e","66","2","8","1","1","5","1","4","92595","Local"
"5/4/2021 4:01","5/4/2021 4:05","IP Address","52.128.213.251","100","195","5/4/2021 4:05","R_3O6cErasZ55VTKU","39.01800537","-77.53900146","EN","YES","Alabama","8","8","4","3","Yes","Yes","1987","Male","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.859","7.978","19.786","4","1.501","1.501","20.554","1","","","","","","","","","","","","","7","8","4","White","","","","","","","","","","","","","60911b5e-1c51-7b6e-751b-281e540c0194","34","1","20","1","1","8","2","3","35201","Soup"
"5/4/2021 4:01","5/4/2021 4:05","IP Address","70.188.197.197","100","211","5/4/2021 4:05","R_1GVKlatiCWR8ie1","33.59820557","-112.3723984","EN","YES","Arizona","10","10","4","3","Yes","Yes","1954","Male","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.021","9.087","11.781","3","10","10","1","Blue","","","","","","","","","","","","","60911b9f-a868-8fd9-4dd0-d895a4b5f26b","66","1","21","1","1","4","9","4","85383","Control"
"5/4/2021 4:02","5/4/2021 4:05","IP Address","162.205.144.37","100","195","5/4/2021 4:05","R_3kHoJW2XT9FYthf","32.84449768","-79.82420349","EN","YES","South Carolina","4","4","2","2","Yes","No","1953","Female","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","35.166","0","0","0","11.667","0","","","","","6","6","4","Red,Green","2","Yes, I voted","Donald Trump","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","no","60911ba5-605b-f5b5-931d-812f7bbbfd6d","67","2","12","1","1","7","9","3","29464","Local"
"5/4/2021 4:04","5/4/2021 4:05","IP Address","68.40.252.111","100","65","5/4/2021 4:05","R_OPaIxIPyt983Klr","42.92849731","-83.6332016","EN","YES","Michigan","8","10","4","2","No","Yes","1991","Female","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.794","8.143","9.48","8","8","8","5","Pink","","","","","","","","","","","","","60911c1a-a079-f044-2f5e-822b1c306f0a","29","2","4","1","1","5","1","2","48503","Control"
"5/4/2021 4:03","5/4/2021 4:05","IP Address","96.78.242.49","100","129","5/4/2021 4:05","R_3IWeaD6D1CY6D9n","42.42570496","-83.15219879","EN","YES","Arizona","7","7","4","4","Yes","No","1990","Female","","No","","","","","","","","","","","","","","","","","","","","","","","","","0.85","15.411","16.19","22","0.588","10.811","11.549","8","","","","","","","","","","","","","","","","","","","","","7","7","4","Red,Green","4","No, I did not vote because I chose not to","","","2-year college degree","Democrat","","Strong Conservative","Black or African American (non-Hispanic)","","$40,000-$49,999","Nothing at all but I don't know what to do with it but I don't know what to do","60911bfc-a085-0aa9-3702-1deb35bae6e8","30","2","6","2","1","4","1","4","85033","Loser"
"5/4/2021 4:02","5/4/2021 4:05","IP Address","172.243.207.173","100","188","5/4/2021 4:05","R_3gMXiHc0xh71EUZ","40.63119507","-76.17379761","EN","YES","Florida","6","3","2","4","Yes","No","1966","Female","","No","","","","","","","","","","","","","","","","","0","0","14.57","0","0","0","12.273","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3","3","Green","","","","","","","","","","","","","60911b49-eb84-8fad-e10f-609102ede085","54","2","7","1","1","6","10","3","32309","Handcount"
"5/4/2021 4:03","5/4/2021 4:06","IP Address","52.128.192.35","100","133","5/4/2021 4:06","R_1GWkv6OsJnddwzH","39.01800537","-77.53900146","EN","YES","Virginia","8","8","4","4","Yes","Yes","1989","Male","","Yes","0.291","6.539","11.102","10","1.564","24.776","25.752","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","4","White","","","","","","","","","","","","","60911bfd-2695-ec42-64ab-6015f614a20a","32","1","4","1","1","8","1","3","22201","Bipartisan"
"5/4/2021 4:02","5/4/2021 4:06","IP Address","192.181.169.48","100","267","5/4/2021 4:06","R_3n6Nh3acow6hail","39.31790161","-84.24829865","EN","YES","Ohio","10","10","4","4","Yes","Yes","1945","Female","","Yes","0","0","18.254","0","0","0","12.908","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","1","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$50,000-$74,999","","60911b9c-8f84-70e9-d0aa-05de4da9c99e","76","2","-3105","1","1","5","1","2","45039","Bipartisan"
"5/4/2021 4:06","5/4/2021 4:06","IP Address","99.60.3.163","100","3","5/4/2021 4:06","R_3m9VG2MXLNpZcsR","36.30659485","-86.61009979","EN","NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60911c8f-a69e-2cb8-0af7-b8ef3c0681e0","59","1","8","1","1","2","9","3","37075",""
"5/4/2021 4:03","5/4/2021 4:07","IP Address","67.162.253.26","100","208","5/4/2021 4:07","R_Q6LQImKNcGgcOs1","39.38879395","-76.49880219","EN","YES","Maryland","1","1","1","1","Yes","No","1985","Male","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","28.123","0","0","0","22.146","0","","","","","","","","","","","","","1","1","1","Red,Green","1","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Democrat","","Moderate","Black or African American (non-Hispanic)","","$50,000-$74,999","","60911bb9-2068-ce3a-89d6-a548cbc898b4","58","1","10","1","1","2","1","3","21236","Soup"
"5/4/2021 4:02","5/4/2021 4:07","IP Address","99.161.185.2","100","302","5/4/2021 4:07","R_Dwxxkicsy1Guy3v","42.64109802","-83.04499817","EN","YES","Ohio","9","9","5","5","Yes","Yes","1991","Female","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.003","18.003","23.748","1","9.077","11.504","13.716","3","","","","","9","9","5","Red,Green","1","No, I did not vote for reasons outside of my control","","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Strong Conservative","Caucasian/White (non-Hispanic),Native American or Aleut","","$50,000-$74,999","none","60911b99-9e93-b72d-4b27-7a8c5ed145cd","29","2","13","1","1","7","1","2","45601","Local"
"5/4/2021 4:05","5/4/2021 4:07","IP Address","172.58.108.2","100","145","5/4/2021 4:07","R_1Io7vMMCda2UxXO","32.76390076","-97.17810059","EN","YES","Texas","10","10","4","4","Yes","Yes","1981","Male","","Yes","","","","","","","","","","","","","","","","","1.136","24.379","29.069","10","1.383","11.607","12.404","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","5","Blue","","","","","","","","","","","","","60911c45-4b27-ff60-811c-f9ca1de475aa","39","1","11","1","1","6","9","3","75010","Handcount"
