"duration_sec","consent","state","dv_pre_state_conf","dv_pre_national_conf","trust_federal","trust_state","accuracy_2016","accuracy_2020","birthyear","gender","gender_text","parent","msg_time","intro_time","dv_post_state_conf","dv_post_national_conf","seceffect","attentioncheck","voting_impt","vote_2020","vote_who_2020","vote_who_2020_text","edu","party","party_text","libcon","race","race_text","income","political_party","treatment_group","dummy_treat","attention_pass","gender_female","parent_yes","race_hispanic","edu_4college","edu_hs","race_white","race_black","race_asian","age","income_clean","income_num","treatment_group_num","dv_state_treatment_diff","dv_national_treatment_diff","always_believer","never_believer"
330,"YES","New Jersey",8,9,"4","4","Yes","Yes","1966","Male","","Yes",62.457,14.14,8,8,"4","Red,Green","4","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Strong Conservative","Caucasian/White (non-Hispanic)","","$100,000-$149,999","1","Handcount",1,1,"0","1","0","0","0","1","0","0",55,"$100,000-$149,999","8",4,0,-1,"1","0"
491,"YES","California",10,6,"3","4","No","Yes","1959","Female","","No",13.024,97.478,10,10,"1","Red,Green","1","Yes, I voted","Joe Biden","","4-year college degree","Independent","","Strong Liberal","Caucasian/White (non-Hispanic)","","$40,000-$49,999","4","Soup",1,1,"1","0","0","0","0","1","0","0",62,"$40,000-$49,999","5",8,0,4,"0","0"
99,"YES","Iowa",10,10,"5","5","Yes","Yes","1981","Male","","Yes",11.333,11.376,10,10,"5","White","","","","","","","","","","","","1","Loser",1,0,"0","1","0","0","0","0","0","0",40,NA,NA,6,0,0,"1","0"
1506,"YES","New York",9,9,"4","2","Yes","Yes","1977","Female","","No",328.431,653.637,8,9,"4","Red,Green","1","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$30,000-$39,999","4","Loser",1,1,"1","0","0","0","0","1","0","0",44,"$30,000-$39,999","4",6,-1,0,"1","0"
129,"YES","Arizona",7,7,"4","4","Yes","No","1990","Female","","No",11.549,16.19,7,7,"4","Red,Green","4","No, I did not vote because I chose not to","","","2-year college degree","Democrat","","Strong Conservative","Black or African American (non-Hispanic)","","$40,000-$49,999","1","Loser",1,1,"1","0","0","0","0","0","1","0",31,"$40,000-$49,999","5",6,0,0,"0","0"
208,"YES","Maryland",1,1,"1","1","Yes","No","1985","Male","","Yes",22.146,28.123,1,1,"1","Red,Green","1","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Democrat","","Moderate","Black or African American (non-Hispanic)","","$50,000-$74,999","1","Soup",1,1,"0","1","0","0","1","0","1","0",36,"$50,000-$74,999","6",8,0,0,"0","0"
384,"YES","Florida",9,9,"4","4","Yes","Yes","1961","Female","","Yes",34.271,37.722,9,9,"3","Red,Green","5","Yes, I voted","Other","Left blank ","4-year college degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","9","RL_percentage",1,1,"1","1","0","0","0","1","0","0",60,"$50,000-$74,999","6",7,0,0,"1","0"
133,"YES","Virginia",8,8,"4","4","Yes","Yes","1989","Male","","Yes",25.752,11.102,8,8,"4","White","","","","","","","","","","","","1","Bipartisan",1,0,"0","1","0","0","0","0","0","0",32,NA,NA,2,0,0,"1","0"
238,"YES","Maryland",8,7,"3","3","No","No","1950","Male","","No",14.041,34.877,8,7,"2","Red,Green","5","Yes, I voted","Donald Trump","","Some college, but no degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$75,000-$99,999","9","RL_percentage",1,1,"0","0","0","0","0","1","0","0",71,"$75,000-$99,999","7",7,0,0,"0","1"
65,"YES","Michigan",8,10,"4","2","No","Yes","1991","Female","","Yes",9.48,NA,8,8,"5","Pink","","","","","","","","","","","","1","Control",0,0,"1","1","0","0","0","0","0","0",30,NA,NA,3,0,-2,"0","0"
294,"YES","New Hampshir",9,8,"2","3","Yes","Yes","1952","Female","","Yes",19.83,34.201,9,8,"3","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$50,000-$74,999","5","Bipartisan",1,1,"1","1","0","0","0","1","0","0",69,"$50,000-$74,999","6",2,0,0,"1","0"
145,"YES","Texas",10,10,"4","4","Yes","Yes","1981","Male","","Yes",12.404,29.069,10,10,"5","Blue","","","","","","","","","","","","9","Handcount",1,0,"0","1","0","0","0","0","0","0",40,NA,NA,4,0,0,"1","0"
186,"YES","South Carolina",10,10,"5","4","Yes","Yes","1948","Female","","Yes",12.263,20.23,10,10,"1","Red,Green","1","Yes, I voted","Joe Biden","","4-year college degree","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$75,000-$99,999","1","Loser",1,1,"1","1","0","0","0","1","0","0",73,"$75,000-$99,999","7",6,0,0,"1","0"
277,"YES","Texas",8,9,"5","4","Yes","Yes","1980","Male","","Yes",10.026,NA,8,9,"4","Red,Green","4","Yes, I voted","Donald Trump","","4-year college degree","Democrat","","Strong Liberal","Caucasian/White (non-Hispanic)","","$100,000-$149,999","1","Control",0,1,"0","1","0","0","0","1","0","0",41,"$100,000-$149,999","8",3,0,0,"1","0"
252,"YES","New York",10,10,"5","5","Yes","Yes","1974","Male","","Yes",13.086,13.929,10,10,"5","White,Red,Blue","","","","","","","","","","","","3","Bipartisan",1,0,"0","1","0","0","0","0","0","0",47,NA,NA,2,0,0,"1","0"
188,"YES","Massachusetts",9,8,"4","5","Yes","Yes","1956","Male","","No",15.433,15.108,9,8,"4","Red,Green","5","Yes, I voted","Joe Biden","","4-year college degree","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$50,000-$74,999","4","Local",1,1,"0","0","0","0","0","1","0","0",65,"$50,000-$74,999","6",5,0,0,"1","0"
263,"YES","Florida",10,6,"2","4","Yes","No","1954","Male","","No",19.396,27.246,10,7,"5","Red,Green","5","Yes, I voted","Donald Trump","","Some college, but no degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$150,000 or more","10","Loser",1,1,"0","0","0","0","0","1","0","0",67,"$150,000","9",6,0,1,"0","0"
561,"YES","Kentucky",9,3,"1","2","Yes","No","1976","Male","","Yes",28.778,64.649,9,3,"2","Red,Green","1","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Independent","","Strong Conservative","Latino or Hispanic","","Prefer not to say","5","Local",1,1,"0","1","1","0","1","0","0","0",45,NA,NA,5,0,0,"0","0"
299,"YES","Michigan",10,10,"4","3","Yes","Yes","1953","Female","","No",23.38,22.299,10,10,"1","Red,Green","1","Yes, I voted","Joe Biden","","High school graduate (high school diploma or equivalent including GED)","Democrat","","Moderate","Caucasian/White (non-Hispanic)","","$20,000-$29,999","2","Handcount",1,1,"1","0","0","0","1","1","0","0",68,"$20,000-$29,999","3",4,0,0,"1","0"
201,"YES","Massachusetts",10,10,"4","4","Yes","Yes","1972","Male","","Yes",63.472,NA,10,10,"5","Red,Green","1","Yes, I voted","Joe Biden","","4-year college degree","Democrat","","Moderate","Caucasian/White (non-Hispanic)","","$100,000-$149,999","2","Control",0,1,"0","1","0","0","0","1","0","0",49,"$100,000-$149,999","8",3,0,0,"1","0"
327,"YES","Indiana",10,3,"1","4","Yes","No","1956","Female","","Yes",25.466,46.276,6,2,"3","Red,Green","1","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Republican","","Strong Conservative","Caucasian/White (non-Hispanic)","","$10,000-$19,999","10","Soup",1,1,"1","1","0","0","1","1","0","0",65,"$10,000-$19,999","2",8,-4,-1,"0","0"
979,"YES","Pennsylvania",10,10,"4","3","Yes","Yes","1970","Male","","Yes",9.292,NA,10,10,"1","Red,Green","5","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$100,000-$149,999","10","Control",0,1,"0","1","0","0","0","1","0","0",51,"$100,000-$149,999","8",3,0,0,"1","0"
294,"YES","Florida",9,9,"4","4","No","Yes","1958","Male","","No",25.798,37.749,9,9,"3","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$40,000-$49,999","1","RL_percentage",1,1,"0","0","0","0","0","1","0","0",63,"$40,000-$49,999","5",7,0,0,"0","0"
162,"YES","South Carolina",9,8,"5","4","Yes","Yes","1972","Male","","Yes",11.022,11.362,10,9,"5","Red","","","","","","","","","","","","1","Bipartisan",1,0,"0","1","0","0","0","0","0","0",49,NA,NA,2,1,1,"1","0"
155,"YES","New York",8,8,"4","4","No","No","1991","Male","","No",10.984,11.215,8,9,"4","Red,Green","4","No, I did not vote because I chose not to","","","2-year college degree","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$40,000-$49,999","4","Local",1,1,"0","0","0","0","0","1","0","0",30,"$40,000-$49,999","5",5,0,1,"0","1"
284,"YES","Ohio",6,5,"3","4","Yes","Yes","1968","Female","","Yes",26.341,39.644,7,8,"2","Red,Green","1","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Republican","","Moderate","Caucasian/White (non-Hispanic)","","$20,000-$29,999","9","RL_percentage",1,1,"1","1","0","0","1","1","0","0",53,"$20,000-$29,999","3",7,1,3,"1","0"
214,"YES","Illinois",2,2,"1","1","No","No","1958","Female","","Yes",12.695,34.795,2,2,"1","Red,Green","1","Yes, I voted","Donald Trump","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Strong Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","10","Handcount",1,1,"1","1","0","0","0","1","0","0",63,"$50,000-$74,999","6",4,0,0,"0","1"
219,"YES","Connecticut",2,2,"1","2","No","No","1954","Female","","Yes",9.425,NA,2,1,"4","Red,Green","4","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Independent","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","5","Control",0,1,"1","1","0","0","1","1","0","0",67,"$50,000-$74,999","6",3,0,-1,"0","1"
231,"YES","New York",9,9,"3","2","Yes","Yes","1965","Male","","Yes",23.797,26.118,9,9,"2","Red,Green","5","Yes, I voted","Donald Trump","","4-year college degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$75,000-$99,999","9","Soup",1,1,"0","1","0","0","0","1","0","0",56,"$75,000-$99,999","7",8,0,0,"1","0"
357,"YES","Kentucky",10,9,"3","3","Yes","Yes","1953","Male","","Yes",69.29,55.108,9,9,"3","Red,Green","1","Yes, I voted","Joe Biden","","2-year college degree","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$100,000-$149,999","4","Loser",1,1,"0","1","0","0","0","1","0","0",68,"$100,000-$149,999","8",6,-1,0,"1","0"
85,"YES","Virginia",6,7,"2","4","Yes","Yes","2000","Female","","No",11.369,11.493,8,7,"4","Red","","","","","","","","","","","","9","Local",1,0,"1","0","0","0","0","0","0","0",21,NA,NA,5,2,0,"1","0"
241,"YES","Mississippi",7,2,"1","3","Yes","No","1980","Female","","Yes",31.309,43.079,8,1,"4","Red","","","","","","","","","","","","10","Soup",1,0,"1","1","0","0","0","0","0","0",41,NA,NA,8,1,-1,"0","0"
143,"YES","California",8,9,"4","4","No","Yes","1978","Male","","Yes",11.761,11.934,9,10,"4","Black","","","","","","","","","","","","4","Handcount",1,0,"0","1","0","0","0","0","0","0",43,NA,NA,4,1,1,"0","0"
110,"YES","Minnesotta",9,9,"4","4","Yes","Yes","1955","Female","","Yes",10.995,12.45,9,9,"5","Black","","","","","","","","","","","","1","Bipartisan",1,0,"1","1","0","0","0","0","0","0",66,NA,NA,2,0,0,"1","0"
757,"YES","New Jersey",9,9,"5","5","Yes","Yes","1976","Male","","Yes",11.523,11.675,9,9,"5","Red,Green","5","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$150,000 or more","2","Handcount",1,1,"0","1","0","0","0","1","0","0",45,"$150,000","9",4,0,0,"1","0"
437,"YES","New York",10,10,"4","4","Yes","Yes","1948","Female","","No",41.499,34.453,9,9,"4","Red,Green","1","Yes, I voted","Donald Trump","","Some college, but no degree","Democrat","","Moderate","Caucasian/White (non-Hispanic)","","$30,000-$39,999","2","RL_percentage",1,1,"1","0","0","0","0","1","0","0",73,"$30,000-$39,999","4",7,-1,-1,"1","0"
317,"YES","Florida",9,9,"3","2","Yes","Yes","1957","Female","","Yes",25.801,40.232,9,9,"3","Red,Green","5","Yes, I voted","Joe Biden","","Some college, but no degree","Democrat","","Strong Liberal","Caucasian/White (non-Hispanic)","","$50,000-$74,999","1","Loser",1,1,"1","1","0","0","0","1","0","0",64,"$50,000-$74,999","6",6,0,0,"1","0"
133,"YES","New Jersey",7,6,"3","3","Yes","Yes","1956","Male","","Yes",11.755,11.689,6,6,"3","Blue","","","","","","","","","","","","3","Loser",1,0,"0","1","0","0","0","0","0","0",65,NA,NA,6,-1,0,"1","0"
691,"YES","Florida",9,5,"3","4","Yes","No","1945","Female","","No",13.012,13.201,8,5,"3","Red,Green","4","Yes, I voted","Donald Trump","","4-year college degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","Prefer not to say","9","RL_percentage",1,1,"1","0","0","0","0","1","0","0",76,NA,NA,7,-1,0,"0","0"
250,"YES","Indiana",8,4,"3","3","Yes","No","1933","Male","","No",22.029,NA,7,5,"1","Red,Green","5","No, I did not vote for reasons outside of my control","","","Some college, but no degree","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$30,000-$39,999","10","Control",0,1,"0","0","0","0","0","1","0","0",88,"$30,000-$39,999","4",3,-1,1,"0","0"
697,"YES","Florida",7,7,"4","4","Yes","Yes","1979","Male","","No",48.244,30.894,9,9,"4","Red,Green","1","Yes, I voted","Joe Biden","","4-year college degree","Democrat","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","2","Loser",1,1,"0","0","0","0","0","1","0","0",42,"$50,000-$74,999","6",6,2,2,"1","0"
335,"YES","New Jersey",10,5,"3","3","No","Yes","1949","Female","","No",11.26,37.264,10,10,"5","Red,Green","5","Yes, I voted","Joe Biden","","High school graduate (high school diploma or equivalent including GED)","Democrat","","Strong Liberal","Caucasian/White (non-Hispanic)","","$30,000-$39,999","1","Handcount",1,1,"1","0","0","0","1","1","0","0",72,"$30,000-$39,999","4",4,0,5,"0","0"
248,"YES","Florida",10,5,"3","5","Yes","No","1959","Female","","Yes",13.099,23.448,10,4,"1","Red,Green","1","Yes, I voted","Donald Trump","","4-year college degree","Independent","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","5","Handcount",1,1,"1","1","0","0","0","1","0","0",62,"$50,000-$74,999","6",4,0,-1,"0","0"
210,"YES","Ohio",10,10,"4","2","Yes","Yes","1950","Female","","No",11.664,14.258,9,10,"5","Red,Green","5","No, I did not vote for reasons outside of my control","","","Some college, but no degree","Democrat","","Moderate","Caucasian/White (non-Hispanic)","","$40,000-$49,999","2","Local",1,1,"1","0","0","0","0","1","0","0",71,"$40,000-$49,999","5",5,-1,0,"1","0"
165,"YES","New York",9,7,"3","3","Yes","Yes","1957","Female","","Yes",13.454,19.72,9,9,"4","Red,Green","5","Yes, I voted","Donald Trump","","High school graduate (high school diploma or equivalent including GED)","Republican","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","10","RL_percentage",1,1,"1","1","0","0","1","1","0","0",64,"$50,000-$74,999","6",7,0,2,"1","0"
281,"YES","South Carolina",8,2,"2","4","Yes","No","1954","Male","","No",20.958,40.827,8,2,"2","Red,Green","5","Yes, I voted","Donald Trump","","2-year college degree","Republican","","Strong Conservative","Caucasian/White (non-Hispanic)","","$40,000-$49,999","10","Loser",1,1,"0","0","0","0","0","1","0","0",67,"$40,000-$49,999","5",6,0,0,"0","0"
267,"YES","Florida",7,2,"3","4","Yes","No","1956","Male","","No",25.646,49.188,8,6,"4","Red,Green","5","Yes, I voted","Donald Trump","","4-year college degree","Republican","","Strong Conservative","Caucasian/White (non-Hispanic)","","$50,000-$74,999","10","Bipartisan",1,1,"0","0","0","0","0","1","0","0",65,"$50,000-$74,999","6",2,1,4,"0","0"
106,"YES","Michigan",10,10,"5","5","Yes","Yes","1979","Male","","Yes",12.279,NA,10,10,"5","White,Black","","","","","","","","","","","","1","Control",0,0,"0","1","0","0","0","0","0","0",42,NA,NA,3,0,0,"1","0"
240,"YES","New York",10,9,"4","4","Yes","Yes","1951","Female","","Yes",14.201,33.517,10,10,"3","Red,Green","5","Yes, I voted","Joe Biden","","4-year college degree","Independent","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$75,000-$99,999","3","Soup",1,1,"1","1","0","0","0","1","0","0",70,"$75,000-$99,999","7",8,0,1,"1","0"
365,"YES","Illinois",5,4,"3","3","No","No","1952","Male","","No",31.086,51.595,5,5,"3","Red,Green","4","Yes, I voted","Donald Trump","","2-year college degree","Republican","","Strong Conservative","Caucasian/White (non-Hispanic)","","$10,000-$19,999","10","Local",1,1,"0","0","0","0","0","1","0","0",69,"$10,000-$19,999","2",5,0,1,"0","1"
236,"YES","New York",1,1,"1","1","No","No","1991","Male","","No",11.067,29.811,1,1,"1","Red,Green","5","Yes, I voted","Jo Jorgensen","","High school graduate (high school diploma or equivalent including GED)","Independent","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$30,000-$39,999","5","Bipartisan",1,1,"0","0","0","0","1","1","0","0",30,"$30,000-$39,999","4",2,0,0,"0","1"
267,"YES","New York",9,9,"4","4","Yes","Yes","1985","Male","","Yes",7.97,52.238,7,8,"4","Red,Green","2","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Republican","","Strong Liberal","Caucasian/White (non-Hispanic)","","$100,000-$149,999","10","Soup",1,1,"0","1","0","0","0","1","0","0",36,"$100,000-$149,999","8",8,-2,-1,"1","0"
295,"YES","New Jersey",10,10,"5","5","No","Yes","1972","Male","","Yes",12.922,15.261,10,10,"5","Black","","","","","","","","","","","","1","Local",1,0,"0","1","0","0","0","0","0","0",49,NA,NA,5,0,0,"0","0"
217,"YES","Washington",9,9,"5","5","Yes","Yes","1970","Male","","Yes",10.895,12.092,9,9,"5","White","","","","","","","","","","","","1","RL_percentage",1,0,"0","1","0","0","0","0","0","0",51,NA,NA,7,0,0,"1","0"
290,"YES","New York",7,7,"3","3","Yes","No","1977","Female","","Yes",18.868,34.84,9,8,"4","Red,Green","2","No, I did not vote because I chose not to","","","Some college, but no degree","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$20,000-$29,999","2","RL_percentage",1,1,"1","1","0","0","0","1","0","0",44,"$20,000-$29,999","3",7,2,1,"0","0"
291,"YES","Maine",8,5,"2","2","No","No","1948","Female","","Yes",14.299,25.587,8,5,"3","Red,Green","1","Yes, I voted","Joe Biden","","Some college, but no degree","Democrat","","Moderate Conservative","Caucasian/White (non-Hispanic)","","$20,000-$29,999","1","Handcount",1,1,"1","1","0","0","0","1","0","0",73,"$20,000-$29,999","3",4,0,0,"0","1"
670,"YES","Mississippi",10,10,"5","5","Yes","Yes","1972","Female","","No",27.311,262.19,10,10,"5","Red,Green","5","No, I did not vote because I chose not to","","","4-year college degree","Democrat","","Strong Conservative","Black or African American (non-Hispanic)","","Prefer not to say","1","Handcount",1,1,"1","0","0","0","0","0","1","0",49,NA,NA,4,0,0,"1","0"
53,"YES","California",9,3,"4","3","No","No","1986","Male","","No",10.825,NA,8,4,"4","Black","","","","","","","","","","","","9","Control",0,0,"0","0","0","0","0","0","0","0",35,NA,NA,3,-1,1,"0","1"
174,"YES","California",10,10,"5","5","No","Yes","1957","Male","","No",11.526,25.852,10,10,"1","Red,Green","1","No, I did not vote for reasons outside of my control","","","4-year college degree","Democrat","","Moderate Liberal","Caucasian/White (non-Hispanic)","","$30,000-$39,999","2","Local",1,1,"0","0","0","0","0","1","0","0",64,"$30,000-$39,999","4",5,0,0,"0","0"
146,"YES","California",9,9,"4","5","Yes","Yes","1986","Male","","Yes",22.937,11.512,9,9,"5","White,Black,Red,Pink,Green,Blue","","","","","","","","","","","","1","RL_percentage",1,0,"0","1","0","0","0","0","0","0",35,NA,NA,7,0,0,"1","0"
11933,"YES","Texas",9,8,"4","4","Yes","Yes","1986","Male","","Yes",15.992,17.671,8,7,"4","Red,Green","4","Yes, I voted","Joe Biden","","4-year college degree","Independent","","Moderate","Caucasian/White (non-Hispanic)","","$100,000-$149,999","4","Bipartisan",1,1,"0","1","0","0","0","1","0","0",35,"$100,000-$149,999","8",2,-1,-1,"1","0"
177,"YES","Texas",10,10,"5","5","Yes","Yes","1971","Male","","Yes",23.337,NA,10,10,"5","Red,Green","5","Yes, I voted","Joe Biden","","Postgraduate degree (MA, MBA, JD, PhD, etc.)","Democrat","","Moderate","Caucasian/White (non-Hispanic)","","$150,000 or more","1","Control",0,1,"0","1","0","0","0","1","0","0",50,"$150,000","9",3,0,0,"1","0"
